Date,Leveraged Funds,Asset,Dealer
12/17/21,"44,689.00","584,746.00","-449,051.00"
12/10/21,"16,911.00","648,940.00","-464,295.00"
12/3/21,"58,122.00","681,709.00","-478,023.00"
11/26/21,"-2,533.00","770,652.00","-496,518.00"
11/19/21,"-43,262.00","774,633.00","-483,406.00"
11/12/21,"-36,976.00","752,563.00","-470,634.00"
11/5/21,"-37,859.00","762,720.00","-488,219.00"
10/29/21,"-70,876.00","799,255.00","-489,018.00"
10/22/21,"-94,309.00","787,309.00","-452,291.00"
10/15/21,"-21,707.00","737,482.00","-520,045.00"
10/8/21,"-42,202.00","794,681.00","-531,601.00"
10/1/21,"-43,727.00","818,561.00","-549,586.00"
9/24/21,"-125,844.00","856,074.00","-554,362.00"
9/17/21,"-134,806.00","863,523.00","-622,091.00"
9/10/21,"-159,717.00","917,305.00","-628,510.00"
9/3/21,"-195,440.00","906,726.00","-608,269.00"
8/27/21,"-177,874.00","880,783.00","-585,292.00"
8/20/21,"-174,274.00","904,932.00","-596,628.00"
8/13/21,"-204,048.00","919,525.00","-590,242.00"
8/6/21,"-204,043.00","903,943.00","-590,219.00"
7/30/21,"-202,560.00","915,460.00","-599,122.00"
7/23/21,"-176,901.00","944,576.00","-605,003.00"
7/16/21,"-197,334.00","968,155.00","-586,319.00"
7/9/21,"-180,599.00","961,371.00","-579,245.00"
7/2/21,"-189,410.00","966,654.00","-606,210.00"
6/25/21,"-171,238.00","968,216.00","-616,056.00"
6/18/21,"-234,869.00","955,306.00","-637,558.00"
6/11/21,"-187,523.00","871,703.00","-600,895.00"
6/4/21,"-207,374.00","857,779.00","-583,844.00"
5/28/21,"-182,705.00","849,974.00","-595,527.00"
5/21/21,"-203,621.00","834,076.00","-567,872.00"
5/14/21,"-224,507.00","864,580.00","-543,126.00"
5/7/21,"-257,556.00","884,080.00","-507,796.00"
4/30/21,"-247,119.00","842,429.00","-496,105.00"
4/23/21,"-247,826.00","837,714.00","-493,638.00"
